书名,img_url,作者,简介
Practical SharePoint 2013 Governance,http://www.allitebooks.com/wp-content/uploads/2018/10/Practical-SharePoint-2013-Governance-400x494.jpg, Steve Goodyear,"Practical SharePoint 2013 Governance is the first book to offer practical and action-focused SharePoint governance guidance based on consulting experiences with real organizations in the field. It provides the quintessential governance reference guide for SharePoint consultants, administrators, architects, and anyone else looking for actual hands-on governance guidance. This book…"
"CWTS, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2018/10/CWTS-2nd-Edition.jpg, Robert J. Bartz,"Pass the CWTS exam with the help of this fully updated officialguide Completely updated to cover the latest Certified WirelessTechnology Specialist exam, this best-selling guide is the onlyOfficial Study Guide for the popular wireless certification. Thisfoundation-level certification is in high demand for wirelessnetworking professionals, and you can master…"
Windows Store App Development,http://www.allitebooks.com/wp-content/uploads/2018/10/Windows-Store-App-Development.jpg, Pete Brown,"Windows Store App Development introduces C# developers to working with Windows Store apps. It provides full coverage of XAML, and addresses both app design and development. Following numerous carefully crafted examples, you’ll learn about new Windows 8 features, the WinRT API, and .NET 4.5. Along the way, you’ll pick…"
Building Your Online Store With WordPress and WooCommerce,http://www.allitebooks.com/wp-content/uploads/2018/10/Building-Your-Online-Store-With-WordPress-and-WooCommerce1.jpg, Lisa Sims,"Teaches you all about e-commerce and how to create your own online shop using WordPress and WooCommerce. Regardless of a business’s size, e-commerce helps level the playing field, increases a business’s exposure, allows companies to reach customers globally, and streamlines the fulfillment process. In the past, e-commerce websites…"
"WordPress All-in-One For Dummies, 3rd Edition",http://www.allitebooks.com/wp-content/uploads/2018/10/WordPress-All-in-One-For-Dummies-3rd-Edition.jpg, Lisa Sabin-Wilson,"Everything you need to know about WordPress If you strive to have a blog that suits your needs, delights your readers, and keeps visitors coming back for more, this book is your ace in the hole! Offering you cream-of-the-crop guidance from eight bestselling books, WordPress All-in-One For Dummies is the…"
Software Development From A to Z,http://www.allitebooks.com/wp-content/uploads/2018/10/Software-Development-From-A-to-Z.jpg," Olga Filipova, Rui Vilão","Understand the big picture of the software development process. We use software every day – operating systems, applications, document editing programs, home banking – but have you ever wondered who creates software and how it’s created? This book guides you through the entire process, from conception to the…"
Practical TLA+,http://www.allitebooks.com/wp-content/uploads/2018/10/Practical-TLA-.jpg, Hillel Wayne,"Learn how to design complex, correct programs and fix problems before writing a single line of code. This book is a practical, comprehensive resource on TLA+ programming with rich, complex examples. Practical TLA+ shows you how to use TLA+ to specify a complex system and test the design itself for…"
"3D Printing For Dummies, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2018/10/3D-Printing-For-Dummies-2nd-Edition.jpg," Kalani Kirk Hausman, Richard Horne","The bestselling book on 3D printing 3D printing is one of the coolest inventions we’ve seen in our lifetime, and now you can join the ranks of businesspeople, entrepreneurs, and hobbyists who use it to do everything from printing foods and candles to replacement parts for older technologies—and…"
Pro Netbeans IDE 6 Rich Client Platform Edition,http://www.allitebooks.com/wp-content/uploads/2018/10/Pro-Netbeans-IDE-6-Rich-Client-Platform-Edition.jpg, Adam Myatt,"This book will enable you to rapidly develop Java front ends of applications using API buttons, functions, and features mostly based in the Java SE 6 platform. It covers working with rich client platform features available in NetBeans for building web-based application front ends. The book also shows…"
"PHP, MySQL, JavaScript & HTML5 All-in-One For Dummies",http://www.allitebooks.com/wp-content/uploads/2018/10/PHP-MySQL-JavaScript-HTML5-All-in-One-For-Dummies.jpg," Janet Valade, Steve Suehring","Get the basics on four key web programming tools in one great book! PHP, JavaScript, and HTML5 are essential programming languages for creating dynamic websites that work with the MySQL database. PHP and MySQL provide a robust, easy-to-learn, open-source solution for creating superb e-commerce sites and content management…."
"Pro Angular 6, 3rd Edition",http://www.allitebooks.com/wp-content/uploads/2018/10/Pro-Angular-6-3rd-Edition.jpg, Adam Freeman,"Get the most from Angular 6, the leading framework for building dynamic JavaScript applications. Understand the MVC pattern and the benefits it can offer. Best-selling author Adam Freeman shows you how to use Angular in your projects, starting from the nuts and bolts and building up to the most advanced…"
Expert SQL Server Transactions and Locking,http://www.allitebooks.com/wp-content/uploads/2018/10/Expert-SQL-Server-Transactions-and-Locking.jpg, Dmitri Korotkevitch,"Master SQL Server’s Concurrency Model so you can implement high-throughput systems that deliver transactional consistency to your application customers. This book explains how to troubleshoot and address blocking problems and deadlocks, and write code and design database schemas to minimize concurrency issues in the systems you develop. SQL…"
"Python Descriptors, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2018/10/Python-Descriptors.jpg, Jacob Zimmerman,"Create descriptors and see ideas and examples of how to use descriptors effectively. In this short book, you’ll explore descriptors in general, with a deep explanation of what descriptors are, how they work, and how they’re used. Once you understand the simplicity of the descriptor protocol, the author…"
Excel 2019 Bible,http://www.allitebooks.com/wp-content/uploads/2018/10/Excel-2019-Bible.jpg," John Walkenbach, Michael Alexander, Richard Kusleika","The complete guide to Excel 2019 Whether you are just starting out or an Excel novice, the Excel 2019 Bible is your comprehensive, go-to guide for all your Excel 2019 needs. Whether you use Excel at work or at home, you will be guided through the powerful new features and…"
Oracle Big Data Handbook,http://www.allitebooks.com/wp-content/uploads/2018/10/Oracle-Big-Data-Handbook-400x495.jpg," Brian MacDonald, Bruce Nelson, David Segleau, Debra Harding, Gokula Mishra, Helen Sun, Keith Laker, Khader Mohiuddin, Mark Hornick, Robert Stackowiak, Tom Plunkett","Transform Big Data into Insight “In this book, some of Oracle’s best engineers and architects explain how you can make use of big data. They’ll tell you how you can integrate your existing Oracle solutions with big data systems, using each where appropriate and moving data between them…"
"IP Multicast, Volume II",http://www.allitebooks.com/wp-content/uploads/2018/10/IP-Multicast-Volume-II-400x498.jpg," Arvind Durai, Josh Loveless, Ray Blair","Design, operate, and troubleshoot advanced Cisco IP multicast in enterprise, data center, and service provider networks IP Multicast, Volume II thoroughly covers advanced IP multicast designs and protocols specific to Cisco routers and switches. It offers a pragmatic discussion of common features, deployment models, and field practices for…"
Adobe Creative Suite 5 Bible,http://www.allitebooks.com/wp-content/uploads/2018/10/Adobe-Creative-Suite-5-Bible.jpg," Kelly L. Murdock, Ted Padova","Learn to use CS5 to produce better work and become a more productive designer The newest release of Adobe Creative Suite boasts a world of must-have features and enhancements to each of its applications: Photoshop, Illustrator, InDesign, GoLive, Acrobat, and Version Cue. Written by a duo of Adobe…"
Photoshop Lightroom 3,http://www.allitebooks.com/wp-content/uploads/2018/10/Photoshop-Lightroom-3.jpg, Nolan Hester,"This book uses simple step-by-step instructions, loads of screen shots, and an array of time-saving tips and tricks, serving both as the quickest route to Adobe Photoshop Lightroom 3 mastery for new users, and a handy reference for more experienced digital photographers. Adobe Photoshop Lightroom 3 was designed…"
Practical Software Requirements,http://www.allitebooks.com/wp-content/uploads/2018/10/Practical-Software-Requirements-400x493.jpg, Benjamin L Kovitz,"This is a comprehensive guidebook for the programmer or manager writing requirements for the first time, as well as the experienced system analyst. The author takes a unique approach to the subject: that a useful requirements document derives from the techniques employed by programmers and interface designers. His…"
Personal Finance with Python,http://www.allitebooks.com/wp-content/uploads/2018/10/Personal-Finance-with-Python.jpg, Max Humber,"Deal with data, build up financial formulas in code from scratch, and evaluate and think about money in your day-to-day life. This book is about Python and personal finance and how you can effectively mix the two together. In Personal Finance with Python you will learn Python and finance at…"
"Modern Java in Action, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2018/10/Modern-Java-in-Action-2nd-Edition.jpg," Alan Mycroft, Mario Fusco, Raoul-Gabriel Urma","Manning’s bestselling Java 8 book has been revised for Java 9 and Java 10! In Modern Java in Action, readers build on their existing Java language skills with the newest features and techniques. The release of Java 9 builds on what made Java 8 so exciting. In addition to…"
CodeIgniter 1.7 professional development,http://www.allitebooks.com/wp-content/uploads/2018/10/CodeIgniter-1.7-professional-development-400x494.jpg, Adam Griffith,This book is a practical guide that takes you through a number of techniques. Each chapter builds upon knowledge from the previous chapter. Step-by-step instructions with examples and illustrative screenshots ensure that you gain a firm grasp of the topic being explained.This book is written for advanced PHP…
"Practical PHP 7, MySQL 8, and MariaDB Website Databases, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2018/09/Practical-PHP-7-MySQL-8-and-MariaDB-Website-Databases.jpg," Adrian W. West, Steve Prettyman","Build interactive, database-driven websites with PHP 7, MySQL 8, and MariaDB. The focus of this book is on getting you up and running as quickly as possible with real-world applications. In the first two chapters, you will set up your development and testing environment, and then build your…"
"Python Data Analytics, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2018/09/Python-Data-Analytics-2nd-Edition.jpg, Fabio Nelli,"Explore the latest Python tools and techniques to help you tackle the world of data acquisition and analysis. You’ll review scientific computing with NumPy, visualization with matplotlib, and machine learning with scikit-learn. This revision is fully updated with new content on social media data analysis, image analysis with…"
UX Optimization,http://www.allitebooks.com/wp-content/uploads/2018/09/UX-Optimization.jpg, W. Craig Tomlin,"Combine two typically separate sources of data―behavioral quantitative data and usability testing qualitative data―into a powerful single tool that helps improve your organization’s website by increasing conversion and ROI. The combination of the what is happening data of website activity, coupled with the why it’s happening data of usability testing, provides a complete…"
Liferay Portal 6 Enterprise Intranets,http://www.allitebooks.com/wp-content/uploads/2018/09/Liferay-Portal-6-Enterprise-Intranets-400x494.jpg, Jonas X. Yuan,This book is a practical guide with a very user-friendly approach. The author has taken a virtual enterprise as an example and has used the features of Liferay to build a corporate intranet for that enterprise. This book is for system administrators or experienced users (not necessarily programmers)…
Privileged Attack Vectors,http://www.allitebooks.com/wp-content/uploads/2018/09/Privileged-Attack-Vectors.jpg," Brad Hibbert, Morey J. Haber","See how privileges, passwords, vulnerabilities, and exploits can be combined as an attack vector and breach any organization. Cyber attacks continue to increase in volume and sophistication. It is not a matter of if, but when, your organization will be breached. Attackers target the perimeter network, but, in…"
Yammer,http://www.allitebooks.com/wp-content/uploads/2018/09/Yammer.jpg, Charles Waghmare,"Build a successful Yammer implementation, make your workplace social and collaborative, create a culture of sharing, form expert communities and generate innovative solutions. Besides, this book will help to enhance your collaboration your suppliers, partners, and clients. The author starts by giving an introduction to social collaborations and…"
Complete Guide to Test Automation,http://www.allitebooks.com/wp-content/uploads/2018/09/Complete-Guide-to-Test-Automation.jpg, Arnon Axelrod,"Rely on this robust and thorough guide to build and maintain successful test automation. As the software industry shifts from traditional waterfall paradigms into more agile ones, test automation becomes a highly important tool that allows your development teams to deliver software at an ever-increasing pace without compromising…"
CCSP Certified Cloud Security Professional All-in-One Exam Guide,http://www.allitebooks.com/wp-content/uploads/2018/09/CCSP-Certified-Cloud-Security-Professional-All-in-One-Exam-Guide.jpg, Daniel Carter,"This self-study guide delivers 100% coverage of all topics on the new CCSP exam This highly effective test preparation guide covers all six domains within the CCSP Body of Knowledge, as established both by CSA and the (ISC)2. The book offers clear explanations of every subject on the…"
Cosmos DB for MongoDB Developers,http://www.allitebooks.com/wp-content/uploads/2018/09/Cosmos-DB-for-MongoDB-Developers.jpg, Manish Sharma,"Learn Azure Cosmos DB and its MongoDB API with hands-on samples and advanced features such as the multi-homing API, geo-replication, custom indexing, TTL, request units (RU), consistency levels, partitioning, and much more. Each chapter explains Azure Cosmos DB’s features and functionalities by comparing it to MongoDB with coding…"
Beginning AI Bot Frameworks,http://www.allitebooks.com/wp-content/uploads/2018/09/Beginning-AI-Bot-Frameworks.jpg, Manisha Biswas,Want to build your first AI bot but don’t know where to start? This book provides a comprehensive look at all the major bot frameworks available. You’ll learn the basics for each framework in one place and get a clear picture for which one is best for your…
Cybersecurity Incident Response,http://www.allitebooks.com/wp-content/uploads/2018/09/Cybersecurity-Incident-Response.jpg, Eric C. Thompson,"Create, maintain, and manage a continual cybersecurity incident response program using the practical steps presented in this book. Don’t allow your cybersecurity incident responses (IR) to fall short of the mark due to lack of planning, preparation, leadership, and management support. Surviving an incident, or a breach, requires…"
Advanced BlackBerry Development,http://www.allitebooks.com/wp-content/uploads/2018/09/Advanced-BlackBerry-Development.jpg, Chris King,"BlackBerry devices and applications are selling by the millions. As a BlackBerry developer, you need an advanced skill set to successfully exploit the most compelling features of the platform. This book will help you develop that skill set and teach you how to create the most sophisticated BlackBerry…"
Introducing Microsoft Flow,http://www.allitebooks.com/wp-content/uploads/2018/09/Introducing-Microsoft-Flow.jpg, Vijai Anand Ramalingam,"Use Microsoft Flow in your business to improve productivity through automation with this step-by-step introductory text from a Microsoft Flow expert. You’ll see the prerequisites to get started with this cloud-based service, including how to create a flow and how to use different connectors. Introducing Microsoft Flow takes you through…"
"Troubleshooting and Maintaining Your PC All-in-One For Dummies, 3rd Edition",http://www.allitebooks.com/wp-content/uploads/2018/09/Troubleshooting-and-Maintaining-Your-PC-All-in-One-For-Dummies-3rd-Edition1.jpg, Dan Gookin,"Stop being a prisoner to your PC! Need a PC problem fixed in a pinch? Presto! Troubleshooting & Maintaining Your PC All-in-One For Dummies offers 5 books in 1 and takes the pain out of wading through those incomprehensible manuals, or waiting for a high-priced geek to show up days…"
"Hacking For Dummies, 6th Edition",http://www.allitebooks.com/wp-content/uploads/2018/09/Hacking-For-Dummies-6th-Edition.jpg, Kevin Beaver,"Stop hackers before they hack you! In order to outsmart a would-be hacker, you need to get into the hacker’s mindset. And with this book, thinking like a bad guy has never been easier. In Hacking For Dummies, expert author Kevin Beaver shares his knowledge on penetration testing, vulnerability…"
Website Scraping with Python,http://www.allitebooks.com/wp-content/uploads/2018/09/Website-Scraping-with-Python.jpg, Gábor László Hajba,"Closely examine website scraping and data processing: the technique of extracting data from websites in a format suitable for further analysis. You’ll review which tools to use, and compare their features and efficiency. Focusing on BeautifulSoup4 and Scrapy, this concise, focused book highlights common problems and suggests solutions that…"
Designing Web APIs,http://www.allitebooks.com/wp-content/uploads/2018/09/Designing-Web-APIs.jpg," Amir Shevat, Brenda Jin, Saurabh Sahni","Using a web API to provide services to application developers is one of the more satisfying endeavors that software engineers undertake. But building a popular API with a thriving developer ecosystem is also one of the most challenging. With this practical guide, developers, architects, and tech leads will…"
"iPhone For Dummies, 11th Edition",http://www.allitebooks.com/wp-content/uploads/2018/09/iPhone-For-Dummies-11th-Edition-400x498.jpg," Bob LeVitus, Edward C. Baig","The iPhone boot camp for getting the most out of your device iPhone For Dummies is the ultimate user-friendly guide to the iPhone! Whether you’re new to the iPhone or just want to get more out of it, this book will show you the essentials you need to know…"
Monetizing Machine Learning,http://www.allitebooks.com/wp-content/uploads/2018/09/Monetizing-Machine-Learning.jpg," Manuel Amunategui, Mehdi Roopaei","Take your Python machine learning ideas and create serverless web applications accessible by anyone with an Internet connection. Some of the most popular serverless cloud providers are covered in this book―Amazon, Microsoft, Google, and PythonAnywhere. You will work through a series of common Python data science problems in…"
Pro Vue.js 2,http://www.allitebooks.com/wp-content/uploads/2018/09/Pro-Vuejs-2.jpg, Adam Freeman,"Explore Vue.js to take advantage of the capabilities of modern browsers and devices using the fastest-growing framework for building dynamic JavaScript applications. You will work with the power of the Model-View-Controller (MVC) pattern on the client, creating a strong foundation for complex and rich web apps. Best-selling author Adam…"
Applied Natural Language Processing with Python,http://www.allitebooks.com/wp-content/uploads/2018/09/Applied-Natural-Language-Processing-with-Python.jpg, Taweh Beysolow II,"Learn to harness the power of AI for natural language processing, performing tasks such as spell check, text summarization, document classification, and natural language generation. Along the way, you will learn the skills to implement these methods in larger infrastructures to replace existing code or create new algorithms…."
Beginning Reactive Programming with Swift,http://www.allitebooks.com/wp-content/uploads/2018/09/Beginning-Reactive-Programming-with-Swift.jpg, Jesse Feiler,Learn the basics of reactive programming and how it makes apps more responsive. This book shows you how to incorporate reactive programming into existing development products and cycles using RXSwift and RXCocoa on iOS and Mac. As we move away from the traditional paradigm of typing or touching one step…
Minecraft Recipes For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/09/Minecraft-Recipes-For-Dummies.jpg," Jesse Stay, Thomas Stay","A quick, handy reference on Minecraft recipes Want to find resources, make a shelter, craft tools, armor, and weapons, and protect yourself from monsters with Minecraft recipes? You’ve come to the right place! In a handy, portable edition that’s packed with step-by-step instructions, Minecraft Recipes For Dummies makes it easy…"
Visual Design of GraphQL Data,http://www.allitebooks.com/wp-content/uploads/2018/09/Visual-Design-of-GraphQL-Data.jpg, Thomas Frisendal,"Get an introduction to the visual design of GraphQL data and concepts, including GraphQL structures, semantics, and schemas in this compact, pragmatic book. In it you will see simple guidelines based on lessons learned from real-life data discovery and unification, as well as useful visualization techniques. These in…"
QuickBooks 2018 For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/09/QuickBooks-2018-For-Dummies.jpg, Stephen L. Nelson,"The perennial bestseller—now in a new edition for QuickBooks 2018 QuickBooks 2018 For Dummies is here to make it easier than ever to familiarize yourself with the latest version of the software. It shows you step by step how to build the perfect budget, simplify tax return preparation, manage…"
Applied Deep Learning,http://www.allitebooks.com/wp-content/uploads/2018/09/Applied-Deep-Learning.jpg, Umberto Michelucci,"Work with advanced topics in deep learning, such as optimization algorithms, hyper-parameter tuning, dropout, and error analysis as well as strategies to address typical problems encountered when training deep neural networks. You’ll begin by studying the activation functions mostly with a single neuron (ReLu, sigmoid, and Swish), seeing…"
Introducing InnoDB Cluster,http://www.allitebooks.com/wp-content/uploads/2018/09/Introducing-InnoDB-Cluster.jpg, Charles Bell,"Set up, manage, and configure the new InnoDB Cluster feature in MySQL from Oracle. If you are growing your MySQL installation and want to explore making your servers highly available, this book provides what you need to know about high availability and the new tools that are available…"
Beginning SVG,http://www.allitebooks.com/wp-content/uploads/2018/09/Beginning-SVG.jpg, Alex Libby,"Develop SVG functionality for use within websites quickly and natively, using basic tools such as HTML and CSS. This book is a project-oriented guide to creating and manipulating scalable vector graphics in the browser for websites or online applications, using little more than a text editor or free…"
"iPad All-in-One For Dummies, 7th Edition",http://www.allitebooks.com/wp-content/uploads/2018/09/iPad-All-in-One-For-Dummies-7th-Edition-400x498.jpg, Nancy C. Muir,"5 BOOKS IN 1 Getting Started with iPad Just for Fun iPad on the Go Getting Productive with iWork® Using iPad to Get Organized Your one-stop guide to all things iPad The iPad may be small, but it packs a big punch. Thisall-encompassing guide provides step-by-step guidance for…"
Backup & Recovery,http://www.allitebooks.com/wp-content/uploads/2018/09/Backup-Recovery.jpg, W. Curtis Preston,"Packed with practical, freely available backup and recovery solutions for Unix, Linux, Windows, and Mac OS X systems — as well as various databases — this new guide is a complete overhaul of Unix Backup & Recovery by the same author, now revised and expanded with over 75% new material…."
Pro Android with Kotlin,http://www.allitebooks.com/wp-content/uploads/2018/09/Pro-Android-with-Kotlin.jpg, Peter Späth,"Develop Android apps with Kotlin to create more elegant programs than the Java equivalent. This book covers the various aspects of a modern Android app that professionals are expected to encounter. There are chapters dealing with all the important aspects of the Android platform, including GUI design, file-…"
"SQL Server 2017 Query Performance Tuning, 5th Edition",http://www.allitebooks.com/wp-content/uploads/2018/09/SQL-Server-2017-Query-Performance-Tuning-5th-Edition.jpg, Grant Fritchey,"Identify and fix causes of poor performance. You will learn Query Store, adaptive execution plans, and automated tuning on the Microsoft Azure SQL Database platform. Anyone responsible for writing or creating T-SQL queries will find valuable the insight into bottlenecks, including how to recognize them and eliminate them…."
Puppet Best Practices,http://www.allitebooks.com/wp-content/uploads/2018/09/Puppet-Best-Practices.jpg," Chris Barbour, Jo Rhett","If you maintain or plan to build Puppet infrastructure, this practical guide will take you a critical step further with best practices for managing the task successfully. Authors Chris Barbour and Jo Rhett present best-in-class design patterns for deploying Puppet environments and discuss the impact of each. The…"
Deploying Chromebooks in the Classroom,http://www.allitebooks.com/wp-content/uploads/2018/09/Deploying-Chromebooks-in-the-Classroom.jpg, Guy Hart-Davis,Learn how to deploy Chromebook computers in a classroom or lab situation and how to navigate the hardware and software choices you face. This book equips you with the skills and knowledge to plan and execute a deployment of Chromebook computers in the classroom.  Teachers and IT administrators at…
